userid,departmentid
24145693,24145694
32548088,23360646
27242619,15297632
28727527,21852602
25435611,21626914
21260509,21307284
25162961,25157706
21303965,4724260
21284880,24647546
25218241,21286045
27186991,5696564
25217970,21582685
25369051,24307058
25163106,25163107
25218112,25218113
27024786,26647566
25946977,23721823
28734302,21621776
26957058,56758740
27121217,4748162
23856767,25162111
27195628,21842399
25949302,21842399
27056805,22911275
26530730,28389838
26548107,25160065
24252962,24252963
21531781,21531782
26989657,52678155
26540869,27075315
28455961,28456997
28357478,28946380
25255891,25157310
25442696,31026702
26542027,15576336
25864188,21604139
21244532,25161188
21832828,21832829
25940913,2654704
32588450,32590846
31049875,25878300
31046217,18624912
2474028,21292678
2424714,17346707
2878841,5518791
4731181,5999955
5235387,21561250
5242334,14763371
5242091,5242092
5239966,29686367
5229237,14819182
5220097,52638863
5212180,5212181
5209895,16809377
5183932,5240885
5182563,16809377
5087800,21622007
10162584,27235632
8626517,24319223
9125737,26618509
9109524,12335871
14219392,26628411
56119337,56388320
56409792,25151989
60503281,52024720
60661509,14763382
21838751,21572328
26641269,5696564
26815860,26707929
25308399,26542517
25197107,59247848
25689281,27235632
33180287,25158844
334343,2265074
764053,30394292
1021415,16809377
5238032,1573473
5234973,2265074
5239901,5236163
5239897,1743541
5233607,867026
5221104,10759088
5211739,10780341
52413403,27069630
51298519,26643310
55482235,10835668
26369869,25165190
26338207,21240762
26316221,22391042
26607752,61951501
26541743,26542437
25215832,59247863
30860958,27233337
31063962,22790281
5220534,5227052
5155664,17746308
5145045,4730539
8626527,21375704
54138720,26549570
52413206,26645335
52349975,13635592
56999349,28942938
59406854,5216922
5235443,21561250
5213432,50598557
5201968,26548333
4758198,21560866
4823996,32981727
21258967,21311332
32536946,27157825
27196170,26547574
27121132,21834552
26551548,24432367
21642775,21729846
26530255,23229996
518434,57050847
797955,22718193
8298989,26528982
6340249,25151796
6256282,21241429
53727856,5230358
57412864,8016375
5240749,5235284
5148229,27194751
5193266,14763684
50672982,7136156
5229127,10778976
